date,compound,unix
2021-09-01 00:00:00,0.0,1630443600000
2021-09-02 00:00:00,0.0,1630530000000
2021-09-03 00:00:00,0.0,1630616400000
2021-09-04 00:00:00,0.0,1630702800000
2021-09-05 00:00:00,0.0,1630789200000
2021-09-06 00:00:00,0.0,1630875600000
2021-09-07 00:00:00,0.0,1630962000000
2021-09-08 00:00:00,0.0,1631048400000
2021-09-09 00:00:00,0.0,1631134800000
2021-09-10 00:00:00,6455.2111,1631221200000
2021-09-11 00:00:00,0.0,1631307600000
2021-09-12 00:00:00,0.0,1631394000000
2021-09-13 00:00:00,0.0,1631480400000
2021-09-14 00:00:00,0.0,1631566800000
2021-09-15 00:00:00,0.0,1631653200000
2021-09-16 00:00:00,0.0,1631739600000
2021-09-17 00:00:00,0.0,1631826000000
2021-09-18 00:00:00,0.0,1631912400000
2021-09-19 00:00:00,0.0,1631998800000
2021-09-20 00:00:00,0.0,1632085200000
2021-09-21 00:00:00,0.0,1632171600000
2021-09-22 00:00:00,0.0,1632258000000
2021-09-23 00:00:00,0.0,1632344400000
2021-09-24 00:00:00,0.0,1632430800000
2021-09-25 00:00:00,0.0,1632517200000
2021-09-26 00:00:00,0.0,1632603600000
2021-09-27 00:00:00,0.0,1632690000000
2021-09-28 00:00:00,0.0,1632776400000
2021-09-29 00:00:00,0.0,1632862800000
2021-09-30 00:00:00,0.0,1632949200000
2021-10-01 00:00:00,0.0,1633035600000
2021-10-02 00:00:00,0.0,1633122000000
2021-10-03 00:00:00,0.0,1633208400000
2021-10-04 00:00:00,0.0,1633294800000
2021-10-05 00:00:00,0.0,1633381200000
2021-10-06 00:00:00,0.0,1633467600000
2021-10-07 00:00:00,0.0,1633554000000
2021-10-08 00:00:00,0.0,1633640400000
2021-10-09 00:00:00,0.0,1633726800000
2021-10-10 00:00:00,0.0,1633813200000
2021-10-11 00:00:00,0.0,1633899600000
2021-10-12 00:00:00,0.0,1633986000000
2021-10-13 00:00:00,0.0,1634072400000
2021-10-14 00:00:00,0.0,1634158800000
2021-10-15 00:00:00,0.0,1634245200000
2021-10-16 00:00:00,0.0,1634331600000
2021-10-17 00:00:00,0.0,1634418000000
2021-10-18 00:00:00,6354.4471,1634504400000
2021-10-19 00:00:00,16223.8002,1634590800000
2021-10-20 00:00:00,8054.3443,1634677200000
2021-10-21 00:00:00,10782.7394,1634763600000
2021-10-22 00:00:00,16689.779,1634850000000
2021-10-23 00:00:00,12349.8707,1634936400000
2021-10-24 00:00:00,0.0,1635022800000
2021-10-25 00:00:00,0.0,1635109200000
2021-10-26 00:00:00,0.0,1635195600000
2021-10-27 00:00:00,4305.8653,1635282000000
2021-10-28 00:00:00,9494.766,1635368400000
2021-10-29 00:00:00,9662.4279,1635454800000
2021-10-30 00:00:00,0.0,1635541200000
2021-10-31 00:00:00,0.0,1635627600000
2021-11-01 00:00:00,0.0,1635717600000
2021-11-02 00:00:00,0.0,1635804000000
2021-11-03 00:00:00,0.0,1635890400000
2021-11-04 00:00:00,7430.6658,1635976800000
2021-11-05 00:00:00,10070.8723,1636063200000
2021-11-06 00:00:00,13798.1814,1636149600000
2021-11-07 00:00:00,0.0,1636236000000
2021-11-08 00:00:00,0.0,1636322400000
2021-11-09 00:00:00,0.0,1636408800000
2021-11-10 00:00:00,0.0,1636495200000
2021-11-11 00:00:00,5341.4955,1636581600000
2021-11-12 00:00:00,11295.4702,1636668000000
2021-11-13 00:00:00,0.0,1636754400000
2021-11-14 00:00:00,0.0,1636840800000
2021-11-15 00:00:00,0.0,1636927200000
2021-11-16 00:00:00,0.0,1637013600000
2021-11-17 00:00:00,0.0,1637100000000
2021-11-18 00:00:00,8003.1569,1637186400000
2021-11-19 00:00:00,13047.2853,1637272800000
2021-11-20 00:00:00,0.0,1637359200000
2021-11-21 00:00:00,0.0,1637445600000
2021-11-22 00:00:00,0.0,1637532000000
2021-11-23 00:00:00,0.0,1637618400000
2021-11-24 00:00:00,1493.441,1637704800000
2021-11-25 00:00:00,13119.9996,1637791200000
2021-11-26 00:00:00,15013.3684,1637877600000
2021-11-27 00:00:00,0.0,1637964000000
2021-11-28 00:00:00,0.0,1638050400000
2021-11-29 00:00:00,0.0,1638136800000
2021-11-30 00:00:00,0.0,1638223200000
2021-12-01 00:00:00,0.0,1638309600000
2021-12-02 00:00:00,0.0,1638396000000
2021-12-03 00:00:00,0.0,1638482400000
2021-12-04 00:00:00,0.0,1638568800000
2021-12-05 00:00:00,0.0,1638655200000
2021-12-06 00:00:00,0.0,1638741600000
2021-12-07 00:00:00,0.0,1638828000000
2021-12-08 00:00:00,0.0,1638914400000
2021-12-09 00:00:00,0.0,1639000800000
2021-12-10 00:00:00,0.0,1639087200000
2021-12-11 00:00:00,1395.7471,1639173600000
2021-12-12 00:00:00,0.0,1639260000000
2021-12-13 00:00:00,0.0,1639346400000
2021-12-14 00:00:00,0.0,1639432800000
2021-12-15 00:00:00,0.0,1639519200000
2021-12-16 00:00:00,0.0,1639605600000
2021-12-17 00:00:00,5524.6652,1639692000000
2021-12-18 00:00:00,0.0,1639778400000
2021-12-19 00:00:00,0.0,1639864800000
2021-12-20 00:00:00,0.0,1639951200000
2021-12-21 00:00:00,0.0,1640037600000
2021-12-22 00:00:00,0.0,1640124000000
2021-12-23 00:00:00,0.0,1640210400000
2021-12-24 00:00:00,0.0,1640296800000
2021-12-25 00:00:00,0.0,1640383200000
2021-12-26 00:00:00,0.0,1640469600000
2021-12-27 00:00:00,0.0,1640556000000
2021-12-28 00:00:00,0.0,1640642400000
2021-12-29 00:00:00,655.7357,1640728800000
2021-12-30 00:00:00,5988.5986,1640815200000
2021-12-31 00:00:00,0.0,1640901600000
2022-01-01 00:00:00,0.0,1640988000000
2022-01-02 00:00:00,0.0,1641074400000
2022-01-03 00:00:00,0.0,1641160800000
2022-01-04 00:00:00,0.0,1641247200000
2022-01-05 00:00:00,0.0,1641333600000
2022-01-06 00:00:00,0.0,1641420000000
2022-01-07 00:00:00,0.0,1641506400000
2022-01-08 00:00:00,0.0,1641592800000
2022-01-09 00:00:00,0.0,1641679200000
2022-01-10 00:00:00,0.0,1641765600000
2022-01-11 00:00:00,2978.0463,1641852000000
2022-01-12 00:00:00,11689.7403,1641938400000
2022-01-13 00:00:00,11164.6849,1642024800000
2022-01-14 00:00:00,8010.5748,1642111200000
2022-01-15 00:00:00,0.0,1642197600000
2022-01-16 00:00:00,0.0,1642284000000
2022-01-17 00:00:00,0.0,1642370400000
2022-01-18 00:00:00,0.0,1642456800000
2022-01-19 00:00:00,763.2021,1642543200000
2022-01-20 00:00:00,5102.9732,1642629600000
2022-01-21 00:00:00,7250.8694,1642716000000
2022-01-22 00:00:00,14617.986,1642802400000
2022-01-23 00:00:00,0.0,1642888800000
2022-01-24 00:00:00,0.0,1642975200000
2022-01-25 00:00:00,0.0,1643061600000
2022-01-26 00:00:00,0.0,1643148000000
2022-01-27 00:00:00,0.0,1643234400000
2022-01-28 00:00:00,0.0,1643320800000
2022-01-29 00:00:00,0.0,1643407200000
2022-01-30 00:00:00,0.0,1643493600000
2022-01-31 00:00:00,0.0,1643580000000
2022-02-01 00:00:00,0.0,1643666400000
2022-02-02 00:00:00,0.0,1643752800000
2022-02-03 00:00:00,0.0,1643839200000
2022-02-04 00:00:00,0.0,1643925600000
2022-02-05 00:00:00,0.0,1644012000000
2022-02-06 00:00:00,0.0,1644098400000
2022-02-07 00:00:00,0.0,1644184800000
2022-02-08 00:00:00,0.0,1644271200000
2022-02-09 00:00:00,6171.7373,1644357600000
2022-02-10 00:00:00,0.0,1644444000000
2022-02-11 00:00:00,0.0,1644530400000
2022-02-12 00:00:00,0.0,1644616800000
2022-02-13 00:00:00,0.0,1644703200000
