,date,open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av,unix,mean_7_days,mean_14_days,mean_56_days,signal,std_7_days,exp_mean_7_days,exp_std_7_days,momentum_7_days,rate_of_change_7_days,strength_index_7_days,std_14_days,exp_mean_14_days,exp_std_14_days,momentum_14_days,rate_of_change_14_days,strength_index_14_days,std_56_days,exp_mean_56_days,exp_std_56_days,momentum_56_days,rate_of_change_56_days,strength_index_56_days
262,2021-10-26,63078.78,63293.48,59817.55,60328.81,40217.50083,2492606133.3189454,1334460,18699.28475,1160289812.695996,1635195600000,62061.33428571428,61393.645000000004,51216.64410714286,1.0,1980.1426384719553,61484.949380741156,1989.3819454251302,-3951.779999999999,-8.59466487155351,48.71768287231503,2292.2353208090376,60371.74158888579,4248.771259265565,4331.879999999997,5.1629159621385075,56.97517770455786,7132.1508775503125,52971.766636932305,8376.79545519396,13227.919999999998,23.597966176144,57.332708776808744
263,2021-10-27,60328.81,61496.0,58000.0,58413.44,62124.49016,3688306192.972418,1913083,29983.43122,1780494793.5603175,1635282000000,60977.33857142857,61468.39071428571,51388.12482142857,1.0,1476.6740972808964,60717.072035555866,2243.201964594011,-7587.970000000001,-6.077373472802067,41.105499096742406,2164.325990984818,60110.63471036768,4015.2651052974356,1046.4400000000023,1.857956885635299,52.22524012473256,7188.468556124437,53162.7178803561,8290.309512963388,9602.920000000006,18.614061791829865,55.967372764184425
264,2021-10-28,58413.44,62499.0,57820.0,60575.89,61056.35301,3677629851.059607,1878275,30447.44205,1835335717.8149133,1635368400000,60746.30142857142,61698.958571428564,51590.432857142856,1.0,1377.9643641668233,60681.7765266669,1943.7917830328129,-1617.260000000002,-0.18509358158799474,51.15765721045056,1839.1087486137606,60172.66874898532,3741.609845686814,3227.949999999997,-1.777990875013497,56.62215689324428,7285.866122411855,53422.84934179318,8259.05889688529,11329.25,21.153863846458158,57.14065197552072
265,2021-10-29,60575.9,62980.0,60174.81,62253.71,43973.90414,2706090987.3096256,1417344,22262.86881,1370325591.0001447,1635454800000,60969.942857142865,61740.47928571429,51809.26446428571,1.0,1489.4917176864521,61074.75989500018,1836.918784021872,1565.489999999998,1.5777635459540589,57.693971221489385,1845.015783457215,60450.140915787284,3559.7697438378673,581.2900000000009,2.26386381269202,59.71975990707917,7420.001301977616,53732.72727324606,8276.892123794378,12254.57,24.71784394630621,58.024240306753995
266,2021-10-30,62253.7,62359.25,60673.0,61859.19,31478.12566,1937860260.4380624,1197748,15583.51105,959369103.6133327,1635541200000,61051.72000000001,61810.737857142856,52022.54214285715,1.0,1525.0734774646314,61270.867421250136,1632.5766538820972,572.4400000000023,1.6547793983522723,55.65092017655802,1828.1979054801045,60638.014127015645,3351.0357030434398,983.6200000000026,0.5377360315158897,58.65903909561454,7535.336102437012,54017.886891281094,8269.201594754433,11943.550000000003,19.5187770205623,57.73925362006672
267,2021-10-31,61859.19,62405.3,59945.36,61299.8,39267.63794,2396556477.343494,1563417,19362.08206,1181449065.6191804,1635627600000,61115.659999999996,61794.41428571429,52192.951428571425,1.0,1524.6977755824478,61278.10056593761,1413.9176116159995,447.58000000000175,-2.8202511208999224,52.571348178676715,1831.9298657874242,60726.25224341356,3128.367519164017,-228.52999999999884,-1.1450440768755308,57.11012787221627,7636.445739777264,54273.41040416406,8234.57895105829,9542.920000000006,16.398139902286008,57.3327272504272
268,2021-11-01,61299.81,62437.74,59405.0,60911.11,44687.66672,2737282804.738131,1472636,22139.95506,1356676790.5772643,1635717600000,60805.99285714286,61715.93357142858,52340.22303571428,1.0,1255.9832956518724,61186.35292445321,1236.4602554636544,-2167.6699999999983,0.9652104856701184,50.31427972433874,1845.4759765168303,60750.899944291756,2913.0816651344385,-1098.729999999996,-5.241831165519788,56.00355372183171,7724.708421633939,54506.32779130128,8182.163454484621,8247.21,29.974950777498925,57.048558551877385
269,2021-11-02,60911.12,64270.0,60624.68,63219.99,46368.2841,2909221038.40065,1858362,23852.14282,1496448016.5988712,1635804000000,61219.01857142857,61640.17642857142,52632.299107142855,1.0,1520.4446320995542,61694.762193339906,1432.2379058384831,2891.1800000000003,8.22850015338935,61.70765421184462,1751.4726914735718,61080.11195171952,2848.374267932343,-1060.5999999999985,-4.214182697006027,60.85554803484646,7822.475418506134,54812.0901447342,8198.546395238971,16356.259999999995,37.29057591907282,58.29866481021401
270,2021-11-03,63220.57,63500.0,60382.76,62896.48,43336.09049,2713389500.4663587,1601925,20662.34777,1294306441.66844,1635890400000,61859.45285714286,61418.39571428572,52933.15928571428,1.0,995.1569791863055,61995.19164500493,1361.756791129594,4483.040000000001,3.830880569810867,59.4781347865604,1293.440922576183,61322.29435815691,2728.009787391636,-3104.9300000000003,1.1308801692790953,59.85944017579607,7888.365708636782,55095.770689896664,8192.111910866368,16848.170000000006,35.56695809086901,58.05759661030456
271,2021-11-04,62896.49,63086.31,60677.01,61395.01,35930.93314,2218138026.7045407,1346081,17843.38035,1101751566.3843453,1635976800000,61976.47000000001,61361.385714285716,53201.01410714286,1.0,857.7438386640098,61845.1462337537,1212.2639389473343,819.1200000000026,-1.3793555436294433,49.746037241164714,1274.1109476364445,61331.98977706933,2539.7684451131554,-798.1399999999994,1.1646246998181868,55.332544716161756,7916.940041634545,55316.80997073809,8131.650544043665,14999.870000000003,36.88687698867202,56.944865638972495
272,2021-11-05,61395.01,62595.72,60721.0,60937.12,31604.48749,1943346371.470386,1243074,15769.15494,969780612.6853932,1636063200000,61788.385714285716,61379.16428571429,53488.267857142855,1.0,928.2693100395537,61618.13967531527,1132.4971588323224,-1316.5899999999965,-1.4905950110242305,47.00935309287024,1265.7040430749473,61279.340473460084,2368.495492574825,248.90000000000146,-0.5704822004756287,53.99156287591572,7900.274967476639,55514.02531610556,8055.584079343641,16086.21,34.89515689331555,56.60798299211923
273,2021-11-06,60940.18,61560.49,60050.0,61470.61,25590.57408,1556774943.5537283,965309,12511.52761,761294376.4716995,1636149600000,61732.874285714286,61392.29714285715,53779.28428571428,1.0,934.9243283610225,61581.25725648645,983.195532911835,-388.58000000000175,0.27864691238796485,50.696226765287776,1265.625255384569,61304.84307699874,2205.9814425205495,183.86000000000058,1.0162160065811887,55.34931407653504,7888.578464617657,55723.04003220825,7989.90276698024,16296.919999999998,33.55847791342316,56.91038671005594
274,2021-11-07,61470.62,63286.35,61322.78,63273.59,25515.6883,1585744720.199772,1068629,13567.09782,843384435.4409548,1636236000000,62014.84428571429,61565.25214285714,54087.29053571429,1.0,1070.374000647115,62004.34044236484,1162.541581862282,1973.7899999999936,3.878569935763764,61.30998804263526,1348.8538204890883,61567.34266673225,2167.913547719135,2421.3699999999953,0.30883603011979255,59.679962713842606,7916.996559982872,55987.98597522213,7972.694818666315,17248.35,40.79341835346242,57.91951864677085
275,2021-11-08,63273.58,67789.0,63273.58,67525.83,54442.094554,3575716171.0443,2349581,28879.186436,1897321249.827841,1636322400000,62959.80428571429,61882.89857142857,54490.59589285714,1.0,2227.715248334339,63384.712831773635,2771.754852835404,6614.720000000001,6.810883709409008,75.70224606938538,2065.791307580176,62361.807644501285,2914.0049422247844,4447.050000000003,11.929656825652627,67.64926807008308,8017.2110098111125,56392.84378858268,8119.277457629178,22585.1,43.33188570438824,60.16002709321653
276,2021-11-09,67525.82,68524.25,66222.4,66947.66,44661.378068,3014326962.087268,1847655,22243.236452,1501548663.7926426,1636408800000,63492.32857142858,62355.673571428575,54844.81267857143,1.0,2696.4950446175585,64275.44962383023,2922.1414814642194,3727.6700000000055,6.441028178365467,71.48407720025531,2411.26855658863,62973.25462523445,3158.5291990528826,6618.850000000006,14.610028103121476,65.74646255370746,8122.766402980244,56763.206913441296,8212.795087780487,19836.140000000007,39.12239894882548,59.71982959635109
277,2021-11-10,66947.67,69000.0,62822.9,64882.43,65171.504046,4335575752.805223,2347934,31344.743321,2088305177.7774785,1636495200000,63776.03571428572,62817.74428571429,55144.11660714286,1.0,2727.649519738195,64427.19471787267,2546.5223611331685,1985.949999999997,5.680298773467092,58.0130539205457,2209.0542766520316,63227.811341869856,3016.5752648198722,6468.989999999998,7.109330131179255,59.32723244207907,8179.12681584989,57048.10581143717,8207.057505219744,16761.019999999997,35.91410332520421,58.171761815440476
278,2021-11-11,64882.42,65600.07,64100.0,64774.26,37237.98058,2415537333.57771,1327827,18589.51479,1205890453.6044016,1636581600000,64258.78571428572,63117.62785714286,55448.338749999995,1.0,2527.7218580561193,64513.96103840451,2211.318946271354,3379.25,6.29688439493038,57.35261946322077,2165.853736016617,63434.00449628721,2860.7759092677497,4198.370000000003,4.048835001158971,59.002292924977944,8215.395659024,57319.21168306461,8188.417118772838,17036.440000000002,36.94352513468292,58.091455922506384
279,2021-11-12,64774.25,65450.7,62278.0,64122.23,44490.10816,2844286547.5040407,1479149,21028.45541,1344883879.1387346,1636668000000,64713.80142857142,63251.093571428566,55748.73607142857,1.0,2076.542639183474,64416.02827880339,1923.8026147489275,3185.1100000000006,4.313638664070525,53.10136393100048,2166.09324539522,63525.76789678225,2674.2807034789835,1868.520000000004,3.6583731536090283,56.97652436591332,8219.585480750226,57557.92490619803,8142.04558657516,16822.25,32.778198130816364,57.60340020613291
280,2021-11-13,64122.22,65000.0,63360.22,64380.0,22504.97383,1442441613.5983925,904149,11094.05209,711146514.0645869,1636754400000,65129.42857142857,63431.15142857143,56036.008571428574,1.0,1541.4326286652104,64407.02120910254,1666.1471486493003,2909.3899999999994,1.7486126518188767,54.651736916525756,2146.1705044846412,63639.66551054462,2507.7909884621636,2520.8099999999977,5.0248124789966635,57.596355797648705,8235.370073192546,57797.30643755297,8097.602251723722,16087.260000000002,36.277762783978154,57.74629357788837
281,2021-11-14,64380.01,65550.51,63576.27,65519.1,25705.07347,1658473781.2937696,951393,12629.83414,815039550.9471319,1636840800000,65450.21571428572,63732.52999999999,56362.38982142857,1.0,1306.6154480290013,64685.04090682691,1533.808030310104,2245.510000000002,-2.9717961260157826,61.255121002368114,2119.9398678806265,63890.256775805334,2426.9429532806357,4219.299999999996,7.565105938801637,60.31708802646854,8242.679692491625,58068.25800346727,8082.440549664132,18277.35,52.31467081027774,58.37748944482553
282,2021-11-15,65519.11,66401.82,63400.0,63606.74,37829.37124,2460915922.876128,1305209,19160.47382,1247275595.4355905,1636927200000,64890.34571428572,63925.075000000004,56730.08839285715,1.0,1090.833832592309,64415.46568012018,1420.8353582916504,-3919.090000000004,-4.990346189844433,47.6616695265445,1960.3819838517397,63852.454539031285,2261.5735412356685,2695.6299999999974,0.6117527066992576,54.047348548922564,8094.409167782212,58262.59862319221,8005.690612528877,20591.119999999995,56.15001382124879,56.923947782345564
283,2021-11-16,63606.73,63617.31,58574.07,60058.87,77455.15609,4705744041.299647,2353681,36375.32415,2209839153.369724,1637013600000,63906.23285714286,63699.28071428572,57075.16857142858,1.0,1801.4244086435021,63326.316760090136,2380.323219972019,-6888.790000000001,-7.434308486904695,32.196833068186805,2213.5405194511927,63346.64326716044,2494.7280808449054,-3161.1199999999953,-4.511556131599098,44.75308758640894,7806.896588844264,58325.62816697475,7871.049011174483,19324.490000000005,37.92809094147224,54.366893355727335
284,2021-11-17,60058.87,60840.23,58373.0,60344.87,46289.38491,2767802055.200423,1471305,22545.24375,1348537946.9526918,1637100000000,63258.01,63517.02285714286,57375.19107142857,1.0,2170.2447569800615,62580.955070067605,2488.7603631104853,-4537.559999999998,-6.83819467794769,34.204615431058556,2383.2658989887154,62946.40683153905,2552.483144280168,-2551.6100000000006,-1.710464742981554,45.56572337249363,7597.448140026543,58396.481445380225,7740.806355239061,16801.260000000002,34.50244130982413,54.534522831316025
285,2021-11-18,60344.86,60976.0,56474.26,56891.62,62146.99931,3644824179.1448526,1960419,29742.20507,1745202989.742389,1637186400000,62131.91857142857,63195.35214285715,57589.9475,1.0,3098.792992502144,61158.6213025507,3424.333923627812,-7882.639999999999,-11.276292168878095,24.136474800147596,2932.36381760285,62139.10192066718,3195.1008396316197,-4503.389999999999,-6.638810629711414,38.24987603152528,7404.93659744328,58343.67735659704,7608.916675171954,12026.36,32.891526555240915,52.178137824088864
286,2021-11-19,56891.62,58320.0,55600.0,58052.24,50715.88726,2896189975.910774,1560459,24072.28575,1374771758.2367315,1637272800000,61264.77714285714,62989.28928571429,57862.12017857144,1.0,3292.263808935008,60382.02597691303,3302.3322311192724,-6069.990000000005,-9.828766697732219,31.9864587409228,3193.037759682777,61594.18699791155,3305.4560003099573,-2884.8800000000047,-5.560982720034831,41.64127492303373,7126.716800611838,58333.45112325549,7474.4258384135155,15241.669999999998,36.047268098158355,52.87494714407141
287,2021-11-20,58057.1,59845.0,57353.0,59707.51,33811.5901,1982718831.1570773,1200190,16682.28087,978340154.0756932,1637359200000,60597.27857142857,62863.353571428575,58166.35,1.0,3017.6037134974704,60213.396982684775,2877.251067503045,-4672.489999999998,-8.870069949068283,41.97646021198201,3290.8149914258292,61342.63006485668,3148.3647111841365,-1763.0999999999985,-5.635969130248489,46.18110207116792,6823.617208231569,58381.66535855007,7346.5510434988155,17036.870000000003,38.3370365307489,53.8513974662522
288,2021-11-21,59707.52,60029.76,58486.65,58622.02,31902.22785,1886578154.5167089,1249219,14949.12309,884084155.7068344,1637445600000,59611.98142857143,62531.09857142858,58442.44142857143,1.0,2141.543059785099,59815.55273701358,2600.559638315077,-6897.080000000002,-7.836779561411261,37.73585246710722,3475.830085115907,60979.88205620913,3084.1005925753043,-4651.57,-13.185783869668843,43.7761167907033,6511.06997488872,58390.09913207708,7216.646827296236,15461.119999999995,39.088270081037116,53.1165278337811
289,2021-11-22,58617.7,59444.0,55610.0,56247.18,51724.32047,2968622334.1376567,1624768,24834.9816,1425668562.211665,1637532000000,58560.61571428571,61725.48071428571,58694.224107142865,0.0,1588.680984074943,58923.459552760185,2803.1390791744266,-7359.559999999998,-6.346589604499722,30.000131926978995,3535.6659787424815,60348.85511538124,3321.2675196066957,-11278.650000000001,-15.98335177062201,38.991852031086054,6131.01036771091,58314.906601223374,7100.061116696572,14099.830000000002,37.09949705727073,51.5495177337459
290,2021-11-23,56243.83,58009.99,55317.0,57541.27,49917.85017,2837210673.4885187,1570845,25217.65003,1433171468.6668608,1637618400000,58200.958571428564,61053.595714285715,58989.130000000005,0.0,1473.785973419151,58577.91216457014,2512.1906802815565,-2517.600000000006,-4.645962448837831,38.07095628822517,3356.149251017075,59974.51043333041,3246.6875117181607,-9406.390000000007,-11.314557731576953,42.66877078548614,5643.536604521017,58287.760626198215,6975.861382854183,16514.729999999996,38.57258933809328,52.32978730527744
291,2021-11-24,57541.26,57735.0,55837.0,57138.29,39612.04964,2246374244.330568,1432991,19625.09659,1113184375.6794689,1637704800000,57742.875714285714,60500.442857142865,59267.95160714286,0.0,1161.629568305366,58218.00662342761,2277.4302416271685,-3206.5800000000017,0.43357879420554074,36.54036459503244,3314.4734471948436,59596.34770888636,3183.7972844848478,-7744.139999999999,-11.788587009716515,41.82345344563496,5127.065255151917,58247.4271319717,6855.7040065756655,15614.010000000002,30.380977589956217,52.0639426287439
292,2021-11-25,57138.29,59398.9,57000.0,58960.36,42153.51522,2455658857.700593,1604266,21112.80397,1230022891.730095,1637791200000,58038.409999999996,60085.16428571429,59538.24196428572,0.0,1172.0742027417662,58403.59496757071,2002.640006664879,2068.739999999998,1.5643151754350955,47.64389847574435,3094.741186742108,59511.549347701504,2972.433088108931,-5813.9000000000015,-8.050047542014683,46.94178623063411,4677.343403324659,58272.44303342527,6735.65170549092,15136.260000000002,22.472763166832184,53.159431718214144
293,2021-11-26,58960.37,59150.0,53500.0,53726.53,65927.87066,3649353860.4295664,2138184,31287.4699,1731974879.8668964,1637877600000,57420.45142857143,59342.61428571429,59637.97267857142,0.0,2006.7202061191836,57234.32872567803,2791.606643623958,-4325.709999999999,-10.017131848238192,30.033455087804498,3292.433078940654,58740.213434674646,3438.317074275596,-10395.700000000004,-16.547794346070212,36.89935993423105,4485.53343328198,58112.93292551257,6670.042078991207,5584.919999999998,12.788165819598648,49.82894770742079
294,2021-11-27,53723.72,55280.0,53610.0,54721.03,29716.99957,1623173123.4917316,1110145,14462.93801,790191540.9148489,1637964000000,56708.09714285714,58652.68785714286,59764.510714285716,0.0,1943.607241494499,56606.00404425852,2688.2284888058357,-4986.480000000003,-6.654478982471089,35.332313207190964,3165.211262005306,58204.32231005136,3500.8583916383263,-9658.970000000001,-16.480797202647775,39.545877739949916,4233.64546668331,57993.91562898308,6582.172696892443,7086.129999999997,13.529084330065485,50.42978699325878
295,2021-11-28,54716.47,57445.05,53256.64,57274.88,36163.7137,1982198373.532835,1253408,18520.69985,1016073216.5947642,1638050400000,56515.648571428566,58063.815,59926.56196428572,0.0,1782.5329165115,56773.2230331939,2348.999142599346,-1347.1399999999994,1.8271138215284695,47.291685357964575,2482.8217774252635,58080.39666871118,3275.572901534669,-8244.220000000001,-9.954699769238292,45.8290995537821,3946.912387866014,57968.68566254446,6467.039871054822,9074.869999999995,16.353376967041495,51.93483880147831
