,date,open,high,low,close,volume,quote_av,trades,tb_base_av,tb_quote_av,unix
154,2021-04-30 00:00:00,53555.0,57963.0,53013.01,57694.27,68578.910045,3808187372.7393794,2267648,35634.129087,1978866536.224178,1619730000000
155,2021-05-01 00:00:00,57697.25,58458.07,56956.14,57800.37,42600.351836,2460342954.8425207,1743013,20574.810226,1188354972.0137234,1619816400000
156,2021-05-02 00:00:00,57797.35,57911.02,56035.25,56578.21,36812.878863,2089763230.439627,1371638,18172.891836,1031569632.4391578,1619902800000
157,2021-05-03 00:00:00,56578.21,58981.44,56435.0,57169.39,57649.931286,3337604542.627381,2102128,28536.055533,1652286174.1582646,1619989200000
158,2021-05-04 00:00:00,57169.39,57200.0,53046.69,53200.01,85324.625903,4705402064.300975,2492629,41029.688246,2262794503.8147497,1620075600000
159,2021-05-05 00:00:00,53205.05,58069.82,52900.0,57436.11,77263.923439,4327994296.151437,2378119,38729.475016,2170539511.7772765,1620162000000
160,2021-05-06 00:00:00,57436.11,58360.0,55200.0,56393.68,70181.671908,3992289527.7370973,2459881,34248.899643,1949210281.6920164,1620248400000
161,2021-05-07 00:00:00,56393.68,58650.0,55241.63,57314.75,74542.747829,4239374487.4747725,2361692,36877.602566,2097609397.229757,1620334800000
162,2021-05-08 00:00:00,57315.49,59500.0,56900.0,58862.05,69709.906028,4079553831.9880643,2311378,34329.699156,2009442622.5889053,1620421200000
163,2021-05-09 00:00:00,58866.53,59300.0,56235.66,58240.84,69806.11991,4043552701.5065985,2170139,34301.050457,1987959541.940182,1620507600000
164,2021-05-10 00:00:00,58240.83,59500.0,53400.0,55816.14,89586.34925,5131782639.966137,2575419,43057.977029,2468201497.9675717,1620594000000
165,2021-05-11 00:00:00,55816.14,56862.43,54370.0,56670.02,64329.54055,3583030654.763019,1911480,30880.828339,1720075588.2236335,1620680400000
166,2021-05-12 00:00:00,56670.02,58000.01,48600.0,49631.32,99842.789836,5476115093.110468,2676826,48299.826001,2654897646.092577,1620766800000
