city_name,date,pm2_5,pm_2_5_previous_1_day,pm_2_5_previous_2_day,pm_2_5_previous_3_day,pm_2_5_previous_4_day,pm_2_5_previous_5_day,pm_2_5_previous_6_day,pm_2_5_previous_7_day,mean_7_days,mean_14_days,mean_28_days,std_7_days,exp_mean_7_days,exp_std_7_days,std_14_days,exp_mean_14_days,exp_std_14_days,std_28_days,exp_mean_28_days,exp_std_28_days,year,day_of_month,month,day_of_week,is_weekend,sin_day_of_year,cos_day_of_year,sin_day_of_week,cos_day_of_week,unix_time,temperature_max,temperature_min,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_max,wind_gusts_max,wind_direction_dominant
San Francisco,2023-04-05,10.5,5.6,6.2,10.3,12.7,11.9,9.1,11.4,9.6,9.014285714285714,10.614285714285714,2.7820855486480234,8.564843137807104,3.1082436384234753,2.1643464612664007,9.486568581520226,3.9001938954332234,5.12739297598302,10.681336767953505,5.562777730048391,2023,5,4,2,0,0.9979171608653922,-0.06450844944931623,0.9749279121818236,-0.22252093395631434,1680645600000,13.3,4.4,0.0,0.0,0.0,0.0,28.9,55.1,308
San Francisco,2023-04-06,10.3,10.5,5.6,6.2,10.3,12.7,11.9,9.1,9.471428571428572,9.142857142857142,10.625,2.7047577129403733,9.048632353355329,2.839905967568765,2.1974510708527717,9.621692770650862,3.648440843857659,5.126808623955838,10.668830783956713,5.3677353223972055,2023,6,4,3,0,0.9966589017541702,-0.08167639533042242,0.43388373911755823,-0.900968867902419,1680732000000,14.2,5.7,0.0,0.0,0.0,0.0,19.0,38.2,281
San Francisco,2023-04-07,10.7,10.3,10.5,5.6,6.2,10.3,12.7,11.9,9.642857142857142,9.228571428571428,10.621428571428572,2.71530056215759,9.361474265016495,2.5281108845135454,2.2189493603363384,9.71213373456408,3.404931935881609,5.127005995334096,10.643394178166595,5.180209081642862,2023,7,4,4,0,0.9951053111006976,-0.09882013873287143,-0.433883739117558,-0.9009688679024191,1680818400000,13.8,9.8,3.3,4.95,0.0,4.0,17.2,35.6,205
San Francisco,2023-04-08,17.2,10.7,10.3,10.5,5.6,6.2,10.3,12.7,9.471428571428572,9.371428571428572,10.782142857142858,2.5837403673183648,9.696105698762372,2.2771544020717536,2.2465113368986063,9.843849236622203,3.188917701033573,5.053275693854086,10.647298027948208,4.998411723444502,2023,8,4,5,1,0.9932568492674143,-0.11593459959550043,-0.9749279121818235,-0.2225209339563146,1680904800000,16.7,7.0,0.0,0.0,0.0,0.0,13.7,24.8,276
San Francisco,2023-04-09,15.8,17.2,10.7,10.3,10.5,5.6,6.2,10.3,10.114285714285714,10.085714285714285,10.821428571428571,3.796238740045839,11.572079274071777,4.025735103252962,2.9747287252809693,10.82466933840591,3.9430140494987094,5.100207486183052,11.099208508779366,5.110792519051365,2023,9,4,6,1,0.9911140639934547,-0.1330147065341959,-0.7818314824680299,0.6234898018587334,1680991200000,20.5,6.7,0.0,0.0,0.0,0.0,18.4,25.9,292
San Francisco,2023-04-10,13.0,15.8,17.2,10.7,10.3,10.5,5.6,6.2,10.9,10.764285714285714,11.12857142857143,4.367302752652913,12.629059455553833,4.008133256933056,3.124495563682762,11.488046759951787,4.068767099813283,5.132890106612652,11.423401025415274,5.078407042294324,2023,10,4,0,0,0.9886775902323404,-0.1500553983446526,0.0,1.0,1681077600000,20.6,9.7,0.0,0.0,0.0,0.0,21.7,25.9,274
San Francisco,2023-04-11,7.8,13.0,15.8,17.2,10.7,10.3,10.5,5.6,11.87142857142857,10.971428571428572,11.360714285714286,3.876301624707604,12.721794591665375,3.4754781646765216,3.172824165757364,11.68964052529155,3.8251837351627485,5.062303624775893,11.532131989179739,4.917021077014746,2023,11,4,1,0,0.9859481499638304,-0.16705162550211924,0.7818314824680297,0.6234898018587336,1681164000000,16.9,11.3,0.0,0.0,0.0,0.0,27.4,42.5,279
San Francisco,2023-04-12,8.6,7.8,13.0,15.8,17.2,10.7,10.3,10.5,12.185714285714285,10.892857142857142,11.432142857142859,3.3343807878063076,11.49134594374903,3.7892248439376774,3.240955292624682,11.171021788586009,3.8162613841062876,4.994593637971637,11.27474357613286,4.8411975227642285,2023,12,4,2,0,0.9829265519799822,-0.18399835165768005,0.9749279121818236,-0.22252093395631434,1681250400000,15.5,7.0,0.0,0.0,0.0,0.0,30.8,45.0,287
San Francisco,2023-04-13,7.7,8.6,7.8,13.0,15.8,17.2,10.7,10.3,11.914285714285715,10.692857142857145,11.39642857142857,3.5639063640091755,10.768509457811772,3.5492805943378607,3.2932248132082336,10.828218883441206,3.6666880124541184,5.0117256688585154,11.0902785019168,4.7219930512047315,2023,13,4,3,0,0.9796136916454901,-0.20089055513063506,0.43388373911755823,-0.900968867902419,1681336800000,16.0,6.8,0.0,0.0,0.0,0.0,27.1,37.4,291
San Francisco,2023-04-17,10.3,10.3,11.7,11.5,13.0,7.7,8.6,7.8,10.085714285714285,10.978571428571428,10.092857142857142,2.0923898389390145,10.920661324035173,2.1838208660824376,3.132749731325643,10.839818327737078,2.686606291375721,2.713331773331325,10.668627531842947,3.019164386068429,2023,17,4,0,0,0.9634705485641488,-0.2678143051621742,0.0,1.0,1681682400000,13.8,8.5,0.0,0.0,0.0,0.0,27.0,39.2,284
